0,315
1,125
2,12
3,50
4,0.8
5,0.2
6,7.5
7,36
8,140.0
9,0.6
10,560.0
11,0.5
12,110
13,23
14,0.2
15,644
16,4.0
17,1050.0
18,720
19,20.0
20,7.0
21,24/5
22,12
23,590
24,None
25,22.0
26,8/5
27,2400
28,24.0
29,"Command '['/usr/local/bin/python', '/tmp/tmptv25h6tz.py']' timed out after 1 seconds"
30,240
31,450
32,7
33,166
34,2835
35,408
36,48.0
37,42
38,4000
39,19
40,62.83
41,1079.2
42,58145
43,1000
44,2025.0
45,6156.0
46,2265.05
47,600
48,899
49,5940.0
50,157.08
51,0.86
52,2096.0
53,5450
54,97
55,19.99
56,299.5
57,2
58,16000
59,2077.76
60,1450
61,872
62,132.3
63,30000.00 20000.00
64,-49000/3
65,138.23
66,1500
67,4340.0
68,7353.75
69,1046.17
70,1600.0
71,450
72,8979.2
73,1120.0
74,70.00
75,4000
76,26340
77,680.0
78,272.0
79,20000
80,24/5
81,2.00
82,40.84
83,2500.0
84,12650
85,42.0
86,346.8
87,3000
88,2280
89,95.0
90,22100.0
91,49
92,55
93,420
94,210.0
95,12565
96,4165.0
97,5.0
98,201.06
99,37.7
100,94.00
101,4000
102,785.40
103,69999
104,1.6
105,24.0
106,650
107,90.0
108,0.75
109,0.8
110,1/101
111,8.333333333333334e-13
112,60.0
113,3.75
114,32
115,72
116,11
117,4
118,23
119,100.0
120,48.0
121,100
122,2520
123,3765
124,252
125,85
126,252.0
127,4950.0
128,1158
129,1217
130,68
131,5102
132,6.0
133,300
134,3
135,8.0
136,6
137,8.0
138,24
139,27
140,10
141,8
142,12
143,"Traceback (most recent call last):   File ""/tmp/tmp5atsp3b5.py"", line 5, in <module>     总人数 = 打扫操场人数 + 打扫教室人数 + 27              ^^^^^^^^^^^^ NameError: name '打扫操场人数' is not defined. Did you mean: '打扫教室人数'?"
144,0
145,35.0
146,305.0
147,625
148,784
149,5124
150,197
151,400.0
152,15.0
153,1600.0
154,333
155,54000
156,732
157,87.0
158,280
159,"File ""/tmp/tmp49eq0x3z.py"", line 7     fewer_baskets = 2 IndentationError: unexpected indent"
160,25.0
161,186
162,336
163,6.0
164,12000
165,1208
166,1568
167,25.0
168,"Traceback (most recent call last):   File ""/tmp/tmpdkqoppme.py"", line 13, in <module>     print(difference)           ^^^^^^^^^^ NameError: name 'difference' is not defined"
169,81
170,38
171,719
172,232
173,9
174,5.0
175,360
176,8.0
177,400
178,8
179,160
180,84
181,47
182,9.0
183,"File ""/tmp/tmp624wpofd.py"", line 2     price_per-pencil = 9  # 每支铅笔的价格（分）     ^^^^^^^^^^^^^^^^ SyntaxError: cannot assign to expression here. Maybe you meant '==' instead of '='?"
184,37
185,2.0
